Instance:Instances/0/60/3/3/instance0-60-3-3.data
Solution status:Mip1
Optimal Value=26
temps écoulé (en secondes):0.908459
Instance:Instances/0/60/3/3/instance8-60-3-3.data
Solution status:Mip1
Optimal Value=26
temps écoulé (en secondes):1.39056
IdMachine Nombre de jobs ordonnancés
0 8
1 9
2 9
IdMachine n°Job Si Fi 
0 18 134 647
0 26 1201 1229
0 29 981 1164
0 30 1231 1294
0 44 890 1198
0 49 1391 1410
0 52 666 791
0 53 1348 1357
1 6 488 756
1 10 348 400
1 14 1203 1319
1 15 1370 1423
1 16 119 269
1 38 965 1098
1 40 1326 1368
1 46 1424 1431
1 48 800 952
2 2 320 351
2 7 714 797
2 23 1408 1417
2 27 847 989
2 35 1051 1211
2 36 435 701
2 37 392 402
2 43 1237 1392
2 54 88 571
Instance:Instances/0/60/3/3/instance9-60-3-3.data
Solution status:Mip1
Optimal Value=26
temps écoulé (en secondes):1.22715
IdMachine Nombre de jobs ordonnancés
0 10
1 9
2 7
IdMachine n°Job Si Fi 
0 0 169 216
0 3 536 585
0 4 1175 1269
0 7 786 1001
0 9 1295 1420
0 24 398 524
0 25 36 94
0 32 1064 1087
0 52 318 429
0 54 605 613
1 1 976 1166
1 15 934 946
1 20 1176 1216
1 27 1357 1411
1 28 904 924
1 34 387 912
1 39 1288 1346
1 45 151 615
1 59 778 823
2 2 516 863
2 8 1319 1408
2 11 1047 1217
2 30 138 336
2 42 775 1333
2 49 907 986
2 53 322 791
