Instance:Instances/0/60/3/4/instance0-60-3-4.data
Solution status:Mip1
Optimal Value=33
temps écoulé (en secondes):2.26758
0 38 221 471
0 40 932 1361
0 41 1374 1380
0 49 481 740
0 50 1427 1434
0 57 96 417
1 1 312 643
1 2 136 166
1 12 1080 1218
1 18 198 285
1 25 1295 1414
1 29 878 1355
1 36 305 744
1 39 952 1132
1 44 1252 1272
2 8 1044 1152
2 17 460 846
2 31 1391 1414
2 53 58 975
2 54 1267 1384
2 55 907 1196
2 58 63 245
3 3 87 514
3 14 56 258
3 21 1247 1354
3 26 581 1045
3 27 1130 1183
3 47 1399 1410
3 51 688 1123
Instance:Instances/0/60/3/4/instance5-60-3-4.data
Solution status:Mip1
Optimal Value=34
temps écoulé (en secondes):1.05906
IdMachine Nombre de jobs ordonnancés
0 10
1 7
2 10
3 7
IdMachine n°Job Si Fi 
0 3 517 652
0 16 796 1414
0 17 253 350
0 25 413 459
0 31 1196 1336
0 33 1042 1151
0 37 695 790
0 47 1381 1421
0 50 467 499
0 56 213 225
1 2 1273 1322
1 10 1400 1423
1 21 1386 1388
1 30 690 816
1 34 1078 1235
1 48 175 686
1 53 894 1072
2 5 1347 1374
2 8 309 463
2 15 1285 1313
2 23 1377 1397
2 24 495 1043
2 28 1403 1413
2 29 131 184
2 35 97 1173
2 41 1187 1275
2 49 1416 1423
3 6 1110 1151
3 19 700 744
3 26 1166 1370
3 32 184 342
3 38 1397 1411
3 44 1029 1073
3 58 355 555
Instance:Instances/0/60/3/4/instance6-60-3-4.data
Solution status:Mip1
Optimal Value=32
temps écoulé (en secondes):1.23399
IdMachine Nombre de jobs ordonnancés
0 9
1 7
2 9
3 7
IdMachine n°Job Si Fi 
0 7 1127 1219
0 8 1333 1430
0 19 495 603
0 23 657 658
0 27 12 413
0 34 1260 1317
0 43 685 911
0 53 68 320
0 54 933 1103
1 15 1233 1431
1 17 130 169
1 20 774 785
1 22 314 645
1 30 913 937
1 44 173 226
1 55 1152 1186
2 1 1320 1347
2 2 673 1190
2 6 464 536
2 13 550 1024
2 31 1427 1438
2 35 1371 1400
2 36 1242 1312
2 51 31 411
2 58 1230 1242
3 12 1295 1379
3 16 844 1038
3 18 214 563
3 24 755 1055
3 26 1435 1440
3 28 1146 1262
3 46 445 1102
Instance:Instances/0/60/3/4/instance7-60-3-4.data
Solution status:Mip1
Optimal Value=32
temps écoulé (en secondes):2.20675
IdMachine Nombre de jobs ordonnancés
0 10
1 5
2 9
3 8
IdMachine n°Job Si Fi 
0 8 1439 1440
0 14 374 547
0 15 573 840
0 16 1026 1130
0 28 200 308
0 29 30 60
0 33 1215 1320
0 37 1208 1212
0 57 930 1127
0 58 847 1153
1 10 12 463
1 19 1028 1148
1 24 1190 1221
1 30 554 1008
1 54 1260 1379
2 1 374 397
2 7 1411 1435
2 11 807 1100
2 12 2 468
2 22 1302 1353
2 32 1129 1393
2 38 704 776
2 43 597 635
2 55 981 1252
3 3 1195 1271
3 17 512 1060
3 26 573 1041
3 27 1112 1146
3 36 1272 1293
3 39 504 835
3 40 317 457
3 52 1420 1439
Instance:Instances/0/60/3/4/instance8-60-3-4.data
Solution status:Mip1
Optimal Value=33
temps écoulé (en secondes):2.23149
IdMachine Nombre de jobs ordonnancés
0 9
1 6
2 11
3 7
IdMachine n°Job Si Fi 
0 1 890 1245
0 9 1436 1439
0 11 394 768
0 21 567 719
0 23 777 1139
0 28 1369 1426
0 30 1192 1353
0 32 11 24
0 37 405 661
1 0 87 1255
1 3 1314 1387
1 27 1275 1333
1 41 224 360
1 44 382 640
1 57 848 967
2 7 1175 1197
2 12 921 996
2 16 1371 1416
2 22 1062 1198
2 36 1236 1347
2 40 1099 1112
2 43 527 660
2 47 407 507
2 49 92 338
2 55 566 850
2 56 1422 1436
3 6 1267 1353
3 20 725 746
3 33 361 628
3 50 395 1058
3 52 842 1217
3 54 1367 1405
3 58 760 980
Instance:Instances/0/60/3/4/instance9-60-3-4.data
Solution status:Mip1
Optimal Value=33
temps écoulé (en secondes):1.82629
IdMachine Nombre de jobs ordonnancés
0 6
1 10
2 8
3 9
IdMachine n°Job Si Fi 
0 2 1000 1431
0 4 460 1086
0 17 79 230
0 29 288 448
0 39 329 701
0 55 1099 1201
1 12 121 386
1 15 1341 1351
1 20 337 597
1 30 1240 1277
1 33 1141 1156
1 44 1425 1436
1 46 511 732
1 53 1377 1393
1 57 797 1058
1 59 1300 1317
2 8 1428 1432
2 11 157 428
2 14 510 699
2 25 836 1148
2 31 1432 1440
2 36 1127 1170
2 41 1243 1408
2 52 1216 1221
3 9 853 973
3 16 1276 1360
3 21 78 604
3 26 696 827
3 48 1316 1381
3 49 1026 1153
3 50 1384 1385
3 51 1168 1258
3 54 1017 1026
