Instance:Instances/0/100/3/4/instance0-100-3-4.data
Solution status:Mip1
Optimal Value=54
temps écoulé (en secondes):7.17986
3 78 815 874
3 85 102 425
3 86 1421 1428
3 98 947 1286
Instance:Instances/0/100/3/4/instance8-100-3-4.data
Solution status:Mip1
Optimal Value=43
temps écoulé (en secondes):5.74274
IdMachine Nombre de jobs ordonnancés
0 8
1 14
2 13
3 8
IdMachine n°Job Si Fi 
0 16 24 409
0 30 220 1089
0 38 1261 1347
0 51 1066 1189
0 71 665 1060
0 83 1383 1394
0 88 429 1287
0 95 1359 1416
1 2 977 1129
1 4 1313 1325
1 6 339 960
1 8 748 891
1 22 379 500
1 32 1052 1290
1 34 961 991
1 45 1331 1380
1 77 1167 1306
1 79 95 171
1 81 1385 1405
1 89 728 892
1 94 667 672
1 97 222 285
2 17 837 886
2 19 1300 1439
2 23 93 356
2 36 1311 1381
2 54 594 603
2 58 480 550
2 61 405 465
2 67 957 1056
2 74 670 683
2 75 713 834
2 85 1099 1134
2 93 933 955
2 96 1145 1310
3 0 692 977
3 27 146 246
3 42 498 682
3 49 1370 1418
3 53 1098 1320
3 55 321 898
3 64 348 464
3 73 456 1372
Instance:Instances/0/100/3/4/instance9-100-3-4.data
Solution status:Mip1
Optimal Value=45
temps écoulé (en secondes):10.0694
IdMachine Nombre de jobs ordonnancés
0 12
1 11
2 10
3 12
IdMachine n°Job Si Fi 
0 4 973 1076
0 16 731 942
0 42 1124 1192
0 51 1429 1430
0 54 1398 1409
0 59 396 548
0 60 159 345
0 65 849 909
0 69 1240 1395
0 76 1267 1316
0 83 717 784
0 89 686 700
1 0 1353 1369
1 1 453 571
1 14 37 390
1 24 844 1333
1 30 961 1189
1 36 760 828
1 41 1284 1424
1 47 1379 1439
1 58 1216 1318
1 84 1015 1135
1 92 585 751
2 6 1115 1220
2 21 1262 1315
2 28 268 1000
2 33 30 123
2 53 315 442
2 57 508 1188
2 70 1330 1369
2 82 521 1243
2 88 1378 1416
2 99 1024 1095
3 8 1266 1381
3 18 1403 1434
3 19 326 381
3 23 1112 1227
3 26 781 988
3 27 262 271
3 39 27 219
3 48 445 496
3 49 576 593
3 50 630 633
3 61 1012 1145
3 90 726 1070
